name;city;address;postal_code;latitude;longitude
ENVERGURE LA ROCHELLE;Puilboreau;48 Rue du 8 Mai 1945;17138;46.179446;-1.104911
ROYAL SA MEYLAN;Meylan;1 bis Boulevard des Alpes;38240;45.202648;5.766119
PAYS DE LOIRE AUTOMOBILES NANTES;Saint-Herblain;104 Avenue des Lions;44800;47.249614;-1.619745
ALTITUDE 69 LYON;Lyon;6 Rue Joannès Carret;69009;45.784958;4.809382
INDIGO LES ULIS;Villebon-sur-Yvette;8 Avenue du Québec;91140;48.688082;2.208137
INDIGO JUVISY;Juvisy-sur-Orge;1 Avenue de la cour de France;91260;48.687704;2.371576
INDIGO LISSES;Lisses;2 Route de Villabé D260;91090;48.600265;2.440535
L'ESPACE H STRASBOURG;Hoenheim;2 Rue Emile Mathis;67800;48.621922;7.727332
HORIZON CH. POZZI PARIS;Levallois-Perret;40 Rue Aristide Briand;92300;48.890609;2.284703
BAYERN AUTO SPORT CALAIS;Coquelles;Place de Cantorbery;62231;50.937769;1.808744
BAYERN AUTO SPORT DUNKERQUE;Coudekerque-Branche CEDEX;48bis Route de Bergues;59210;51.007352;2.380730
BAYERN AUTO SPORT ST OMER;Arques;2 Rue Yves Montand;62510;50.730550;2.278355
INDIGO BALLAINVILLIERS;Ballainvilliers;54 RN 20;91160;48.663694;2.278068
BYmyCAR BAC CHENNEVIERES;Chennevières-sur-Marne;2 et 4 Rue Lavoisier;94430;48.796133;2.546907
BYmyCAR PARIS BIZOT;Paris;101 avenue Michel Bizot;75012;48.83881760289072;2.403964907966163
ESPACE BERTEAUX DREUX;Vernouillet;7 Boulevard de l'Europe;28500;48.720193;1.370856
FOUREL VALENCE;Valence;Route de Beauvallon;26000;44.902009;4.885867
BYmyCAR 77 MARNE LA VALLEE;Saint-Thibault-des-Vignes;31 bis Avenue de Saint-Germain des Noyers;77400;48.860175;2.671900
HORIZON LA DEFENSE;Nanterre;33 Rue d'Arras;92000;48.900678171904744;2.2250071587957443
HORIZON ST-OUEN-L'AUMONE;Saint-Ouen-l'Aumône;15 rue Louis Delage;95310;49.034410;2.119187
HORIZON ST-GRATIEN;Saint-Gratien;51 Boulevard du Maréchal Foch;95210;48.964209;2.289541
EDENAUTO PREMIUM TARBES;Tarbes;10 Rue Patrick Baudry;65000;43.219530;0.090015
EDENAUTO PREMIUM PAU;Lescar;Avenue Santos Dumont;64230;43.319873;-0.422481
BMS MANTES;Buchelay;1 Avenue de la Garonne;78200;48.989828;1.676695
EDENAUTO PREMIUM BEZIERS;Béziers;110 Rue Max Jacob;34500;43.345054;3.256929
EDENAUTO PREMIUM NARBONNE;Narbonne;Chemin de Saint-Crescent;11100;43.172174;2.992392
EDENAUTO PREMIUM CARCASSONNE;Carcassonne;Avenue du Général Leclerc;11000;43.206653;2.385525
HUCHET SAS RENNES;Saint-Grégoire;ZA La Brosse - Route du Meuble;35760;48.179921;-1.720243
HUCHET SAS SAINT MALO;Saint-Malo;3 Rue de la Grassinais;35400;48.625718;-1.986583
GRIM PASSION MONTPELLIER;Lattes;564 Route du Pont de Guerre;34970;43.575779;3.873259
CAR AVENUE METZ;Metz;92 Bis Boulevard Solidarité;57070;49.105090;6.234482
PANEL MELUN;Vert-Saint-Denis;130 Route Departementale 306;77240;48.567717;2.627800
HESS AUTO BESANCON;Besançon;ZAC de Valentin, Rue Ariane II;25000;47.279832;5.987093
CHARRIER CHOLET;Cholet;53 Rue de la Jominière;49300;47.073239;-0.868740
ISERAN AUTOMOBILES CHAMBERY;Chambéry;Rue Alexander Fleming;73000;45.598609;5.893898
CAR AVENUE TERVILLE;Terville;Rue Jean-Pierre Beltoise;57180;49.350084;6.145842
AXXIA SA BOURGES;Saint-Doulchard;1549 Route d'Orléans;18230;47.118055;2.373209
HELI-DRIVE CLERMONT;Aubière;12 Rue Jacqueline Auriol;63170;45.751467;3.138048
CAR AVENUE BAYERN DIJON;Chenôve;18 Rue Antoine Becquerel;21300;47.290340;5.024453
BERNARDINI AJACCIO;Ajaccio;40 Route de Mezzavia;20167;41.949746;8.767876
OLIVA MOTOR PERPIGNAN;Perpignan;2500 Avenue de Prades;66000;42.693806;2.849092
GRIM RODEZ;Onet-le-Château;556 Rue des Enlumineurs;12850;44.378043;2.538633
EDENAUTO PREMIUM PÉRIGUEUX;Trélissac;21 Avenue de l'Automobile;24750;45.198526;0.791223
OUEST MOTORS BREST;Brest;168 Route de Gouesnou;29200;48.420397;-4.468025
ENVERGURE CAEN;MONDEVILLE;Route de Paris;14120;49.168381;-0.317153
ENVERGURE SAINT-LO;SAINT-LÔ;Rond-Point de Baudre;50000;49.098753;-1.081008
AMPLITUDE AUTOMOBILES TOURS;Chambray-les-Tours;7 Rue Benjamin Franklin;37170;47.330834;0.703270
AMPLITUDE LE MANS;Le Mans;2 Boulevard René Cassin;72000;47.981317;0.191679
ALTITUDE 71 MACON;Sancé;16 Rue de la Madone;71000;46.334976;4.843879
BYmyCAR NOISY;Noisy-le-Sec;40 Rue de Paris;93130;48.898801;2.445198
CAR AVENUE EPINAL;Chavelot;1 Rue Nicolas Barry;88150;48.215672;6.437555
BMS LE HAVRE;Le Havre;175 Boulevard de Graville;76600;49.491111;0.147996
HORIZON NORMANDIE ROUEN;Rouen;122 Rue de Constantine;76000;49.448255;1.071946
BAVARIA MOTORS TOULON EST LA GARDE;La Garde;ZAC des 4 Chemins;83130;43.136264;6.026101
BAYERN LILLE BY AUTOSPHERE;Villeneuve-d'Ascq;16 Rue du Haut de la Cruppe;59650;50.640887;3.121980
SAINT-MERRI BEAUVAIS;Beauvais;6 Rue Pierre et Marie Curie - ZAC Saint-Lazare;60000;49.414416;2.113274
GARAGE THIREAU CHARTRES;Nogent-le-Phaye;14 Rue Gilles de Roberval;28630;48.454458;1.545440
ENVERGURE ALENCON;Valframbert;1 Rue Joan Miro;61250;48.454292;0.118959
PELRAS TOULOUSE;Toulouse;145 Rue Nicolas Vauquelin;31100;43.582900;1.402638
JMS AUTOMOBILE COLMAR;Colmar;156 Avenue d'Alsace;68000;48.064680;7.363223
BRESSE AUTO SPORT BOURG;Viriat;40 Rue Gay-Lussac;1440;46.219732;5.210072
AUVERGNE AUTO AURILLAC;Aurillac;40 Avenue Georges Pompidou;15000;44.918249;2.465391
L'ESPACE BIENVENUE ROYAN;St Georges de Didonne;4 Rue Robert Schuman;17110;45.616911;-0.990203
EDENAUTO PREMIUM BRIVE;Brive-la-Gaillarde;7-9 Avenue Cyprien Faurie;19100;45.148409;1.481520
6EME AVENUE BOURGOIN;Bourgoin-Jallieu;53 Rue Isaac Asimov;38300;45.591863;5.249866
ALTITUDE 38 VIENNE;Vienne;Z.I. de Seyssuel - Route de Chasse;38200;45.550636;4.832259
DUPONT SA ORLEANS;Orléans;2 rue Tabart Zone Expo Sud;45100;47.876352;1.912761
FOCH AUTOMOBILES AVIGNON;Avignon;125 Avenue Charles Valente;84140;43.918475;4.875860
6EME AVENUE LYON 3;Lyon;82 Boulevard Marius Vivier Merle;69003;45.755444;4.858835
NEUBAUER BOULOGNE;Boulogne-Billancourt;44 Avenue Edouard Vaillant;92100;48.836273;2.251147
ENVERGURE REIMS;Reims;3  Rue Léna Bernstein;51100;49.237447;4.082926
GRAND SUD AUTO MARSEILLE;Marseille;3-5 Boulevard Rabatau;13008;43.273520;5.392161
CAR AVENUE NANCY;Maxéville;34 rue Haroun Tazieff Parc d'activités Saint Jacques II;54320;48.70765584008329;6.134871300003519
OUEST MOTORS MORLAIX;Morlaix;Rue Yves Prigent;29600;48.592879;-3.817169
HESS AUTO BELFORT;Belfort;ZAC de la Justice;90004;47.641870;6.878224
LITTORAL AUTOMOBILES VANNES;Vannes;Rue Marcelin Berthelot;56000;47.665559;-2.786890
CAP OUEST LA BAULE;Guérande;20 Rue de la Briquerie;44350;47.321264;-2.413465
BAYERN SECLIN BY AUTOSPHERE;Seclin;6 Rue des Pavés;59113;50.550970;3.051993
HUCHET LAVAL;Laval;Zat des Montrons, Parc de L'Automobile;53000;48.083665;-0.791786
DUPONT SA MONTARGIS;Amilly;61 route de la Rose Blanche;45200;47.962068;2.735091
NEUBAUER CHAMBOURCY;Chambourcy;33 Route de Mantes;78240;48.905718;2.049518
CAR PREMIUM 59 DOUAI;Dechy;Rue Barack Obama - ZAC du Luc;59187;50.344478;3.119763
LATITUDE AUTOMOBILES LORIENT;Lorient;1 Rue François Toullec;56100;47.735109;-3.375814
AXXIA SA CHATEAUROUX;Châteauroux;La Poterie Rocade Sud;36000;46.792997;1.715134
OUEST MOTORS SAINT-BRIEUC;TREGUEUX;30 Av. Pierre Mendès France;22950;48.490687502186105;-2.765758978897231
HESS AUTO PRESTIGE JURA LONS LE SAUNIER;Lons-le-Saunier;40 Rue Blaise Pascal;39000;46.672045;5.576122
ARAVIS AUTOMOBILES ANNECY;EPAGNY METZ-TESSY;292 rue des Savoie;74330;45.92421347932879;6.084355270335059
JMS AUTOMOBILE MULHOUSE;Sausheim;25 Route Départementale Rd 201;68390;47.787905;7.388391
VALMOTORS VALENCIENNES;Petite-Forêt;310 Rue Etienne Lenoir;59494;50.380493;3.478952
EQUATION TOULOUSE;Labège;3006 Route de Baziege la Lauragaise;31670;43.548195;1.515682
BMW PARIS;Paris;44 rue Ginoux;75015;48.7817838;2.1761422
L'ESPACE BIENVENUE ANGOULEME;Champniers;ZAC des Montagnes Ouest;16430;45.689962;0.175905
ALTITUDE 42 BMW ST-ETIENNE;Saint-Etienne;42 Rue du Docteurs H et B  Muller;42000;45.448744;4.398456
6EME AVENUE VENISSIEUX;Vénissieux;3 Rue Louis Blanc;69200;45.720588;4.879161
EDENAUTO PREMIUM LIMOGES;Limoges;27 Avenue des Cambuses;87280;45.889691;1.274001
ENVERGURE NIORT;Niort;475 Avenue de Paris;79000;46.337207;-0.420754
NEUBAUER MIRABEAU;Paris;71 Avenue de Versailles;75016;48.846800;2.273593
PANEL FONTAINEBLEAU;Samoreau;4 Rue du Bois Gasseau;77210;48.424326;2.764570
AXXIA SA NEVERS;Nevers;Boulevard Pré Plantin;58000;46.983781;3.123763
ENVERGURE ANGERS;Beaucouzé;8 Rue Amede Gordini;49070;47.471596;-0.617476
NEUBAUER LE CHESNAY/PARLY II;Le Chesnay;46-48 Rue Moxouris;78150;48.831424;2.116905
BMW PARIS VELIZY;Vélizy-Villacoublay;39 Av. Louis Breguet;78140;48.7817837;2.1749233
BAVARIA MOTORS TOULON OUEST OLLIOULES;Ollioules;13 Avenue Jean Mermoz;83190;43.121532;5.846732
BYmyCAR IVRY;Ivry-sur-Seine;11-13 Boulevard du Colonel Fabien;94200;48.814415;2.407529
AMPLITUDE AUTOMOBILES BLOIS;Blois;5 Rue de l'Azin;41000;47.612788;1.330824
BMS EVREUX;Evreux;251 Rue René Panhard;27000;49.023081;1.188928
MINI MONT-SION AUTOMOBILES Vetraz-Monthoux;Vetraz-Monthoux;Carrefour de l'Europe;74100;46.176865;6.243174
GRIM ALBI;Albi;1 Route de Castres;81000;43.912477;2.142092
EQUATION MONTAUBAN;Montauban;1000 Avenue de l'Europe;82000;43.991595;1.331871
FOUREL MONTELIMAR;Montélimar;Avenue de Gournier;26200;44.534138;4.733682
LATITUDE AUTOMOBILES QUIMPER;Quimper;5  Rue Joseph Cugnot;29000;47.981827;-4.038610
PAYS DE LOIRE AUTOMOBILES REZE;Rezé;3 Bd Léonard de Vinci;44400;47.155925;-1.545993
BAYERN AVENUE CANNES;Mougins;470 Bis Avenue Saint-Martin;6250;43.608305;6.984351
L'ESPACE H HAGUENAU;Haguenau;110 Route de Strasbourg;67500;48.800662;7.765609
BAYERN AUTO SPORT BOULOGNE SUR MER;Saint-Léonard;Boulevard de la Liane;62360;50.690505;1.616240
ALTITUDE 69 VILLEFRANCHE;Villefranche-sur-Saône;680 Avenue de l'Europe;69400;45.990309;4.743091
PANEL AUXERRE;Auxerre;3 Rue Louise Weiss;89000;47.813019;3.563138
CAR AVENUE BAYERN TROYES;Rosières-Près-Troyes;14 Chemin du curé;10430;48.267718;4.052574
STORE MONACO;Monaco;2 Avenue de Roqueville;98000;43.73908673373809;7.422683161882939
L'ESPACE BIENVENUE ROCHEFORT;Rochefort;Le Vergeroux;17300;45.966355;-0.983279
ALTITUDE 42 ROANNE;Le Coteau;36 Boulevard Charles de Gaulle;42120;46.013892;4.095789
MONT D'AREU AUTOMOBILES;Domancy;751 Route de Sallanches;74700;45.914692;6.650226
AUTO BOURGOGNE VACHER MONTCEAU;Montceau-les-Mines;5 Rue de Semur;71300;46.677887;4.376842
STATION 7 SELLENS MARSEILLE;Marseille;522 Chemin du Littoral;13016;43.352457;5.338800
CAR AVENUE BAYERN CHALON;Chalon-sur-Saône;2 Avenue de l'Automobile;71100;46.768294;4.859501
GARAGE RAYMOND MARMANDE;Marmande;52 Avenue Jean Jaurès;47200;44.503986;0.153578
MERIDIONAL AUTO NIMES;Nîmes;ZAC du Mas des Abeilles, 1550 Route de Saint-Gilles;30900;43.808810;4.371466
HELI-MOTORS VICHY;Bellerive-sur-Allier;20 Route de Charmeil;3700;46.145708;3.396296
BERNARDINI BASTIA;Furiani;1653 Avenue Sampiero Corso;20600;42.650473;9.439881
GARAGE ALAIN VERNE MEYZIEU;Meyzieu;20 Boulevard Ambroise Paré;69330;45.770440;4.988664
EQUATION CASTRES;Castres;11 Rue de Mélou;81100;43.591842;2.217596
BMW NICE PREMIUM MOTORS;Nice;116 Avenue Simone Veil;6200;43.689393;7.201394
CAR AVENUE SARREBOURG;Sarrebourg;2 Chemin d'Imling;57400;48.723112;7.044208
MINI STORE RABATAU MARSEILLE;Marseille;27-29 Boulevard Rabatau;13008;43.274195;5.393336
BAYARD AUTO MOTO GAP;Gap;77 Route des Eyssagnières;5000;44.539637;6.052267
SAINT-MERRI AMIENS;Rivery;1 Bis Avenue de la Défense Passive;80136;49.912521;2.334316
SAINT-MERRI COMPIEGNE;Jaux;150 Rue de Champagne - ZAC du Camp du Roy;60880;49.408826;2.772098
SAINT-MERRI CHANTILLY;Saint-Maximin;89 Rue des Droits de l'Homme et du Citoyen;60740;49.231560;2.467787
